timestamp,image_avg_latency_ms,lidar_avg_latency_ms
2025-05-19 22:16:43,0.00,2241.65
2025-05-19 22:16:48,2904.78,3001.83
2025-05-19 22:16:53,2113.26,2291.99
2025-05-19 22:16:58,1477.26,1684.66
2025-05-19 22:17:03,1257.23,1428.30
2025-05-19 22:17:08,1200.84,1324.67
2025-05-19 22:17:13,1052.19,1162.90
2025-05-19 22:17:18,802.90,993.70
2025-05-19 22:17:23,543.44,613.29
2025-05-19 22:17:28,536.32,442.49
2025-05-19 22:17:33,699.69,566.10
2025-05-19 22:17:38,631.68,627.96
2025-05-19 22:17:43,637.30,526.94
2025-05-19 22:17:48,678.78,619.82
2025-05-19 22:17:53,737.72,642.00
2025-05-19 22:17:58,737.55,630.39
2025-05-19 22:18:03,576.94,603.18
2025-05-19 22:18:08,465.81,430.07
2025-05-19 22:18:13,468.08,399.64
2025-05-19 22:18:18,388.39,387.59
2025-05-19 22:18:23,277.97,281.06
2025-05-19 22:18:28,315.62,225.21
